Column,Bidirectional LSTM,DNN,GRU,LSTM,SimpleRNN
 ,0.331267714709031,0.331267714709031,0.331267714709031,0.331267714709031,0.331267714709031
Point(138.8275195 36.5786787),0.01770853049222442,0.01770853049222442,0.01770853049222442,0.01770853049222442,0.01770853049222442
Point(138.8939601 36.25898610000001),0.19686309552636833,0.19686309552636833,0.19686309552636833,0.19686309552636833,0.19686309552636833
Point(138.9955116 36.33801589999999),0.16274966490755288,0.16274966490755288,0.16274966490755288,0.16274966490755288,0.16274966490755288
Point(139.0428727 36.3816035),0.03365385258728303,0.03365385258728303,0.03365385258728303,0.03365385258728303,0.03365385258728303
Point(139.0432674 36.64710669999999),0.11396460924370293,0.11396460924370293,0.11396460924370293,0.11396460924370293,0.11396460924370293
Point(139.0960211 36.4047323),0.28396019950106727,0.28396019950106727,0.28396019950106727,0.28396019950106727,0.28396019950106727
Point(139.342672 36.4105658),0.13288892283017525,0.13288892283017525,0.13288892283017525,0.13288892283017525,0.13288892283017525
Point(139.3817322 36.2909131),0.09216932305663288,0.09216932305663288,0.09216932305663288,0.09216932305663288,0.09216932305663288
Point(139.5317782 36.2499123),0.054079418946615665,0.054079418946615665,0.054079418946615665,0.054079418946615665,0.054079418946615665
